阿富汗	AF	AF	AFG	004	AFG	.af	 
 阿尔巴尼亚	AL	AL	ALB	008	ALB	.al	 
 阿尔及利亚	AG	DZ	DZA	012	DZA	.dz	 
 美属萨摩亚	AQ	AS	ASM	016	ASM	.as	 
 安道尔	AN	AD	AND	020	AND	.ad	 
 安哥拉	AO	AO	AGO	024	AGO	.ao	 
 安圭拉	AV	AI	AIA	660	AIA	.ai	 
 南极洲	AY	AQ	ATA	010	ATA	.aq	ISO定义为位于南纬60°之南
 安提瓜和巴布达	AC	AG	ATG	028	ATG	.ag	 
 阿根廷	AR	AR	ARG	032	ARG	.ar	 
 亚美尼亚	AM	AM	ARM	051	ARM	.am	 
 阿鲁巴	AA	AW	ABW	533	ABW	.aw	 
 澳大利亚	AS	AU	AUS	036	AUS	.au	ISO定义包括阿什莫尔和卡捷岛，珊瑚海群岛
 奥地利	AU	AT	AUT	040	AUT	.at	 
 阿塞拜疆	AJ	AZ	AZE	031	AZE	.az	 
 巴哈马	BF	BS	BHS	044	BHS	.bs	 
 巴林	BA	BH	BHR	048	BHR	.bh	 
 孟加拉国	BG	BD	BGD	050	BGD	.bd	 
 巴巴多斯	BB	BB	BRB	052	BRB	.bb	 
 白俄罗斯	BO	BY	BLR	112	BLR	.by	 
 比利时	BE	BE	BEL	056	BEL	.be	 
 伯利兹	BH	BZ	BLZ	084	BLZ	.bz	 
 贝宁	BN	BJ	BEN	204	BEN	.bj	 
 百慕大	BD	BM	BMU	060	BMU	.bm	 
 不丹	BT	BT	BTN	064	BTN	.bt	 
 玻利维亚	BL	BO	BOL	068	BOL	.bo	 
 波斯尼亚和黑塞哥维那	BK	BA	BIH	070	BIH	.ba	 
 博茨瓦纳	BC	BW	BWA	072	BWA	.bw	 
 布韦岛	BV	BV	BVT	074	BVT	.bv	 
 巴西	BR	BR	BRA	076	BRA	.br	 
 英属印度洋领地	IO	IO	IOT	086	IOT	.io	 
 英属维尔京群岛	VI	VG	VGB	092	VGB	.vg	 
