monthdate,report_code,avgTone,numreport
201502.0,AS,-0.903874384,47119
201502.0,BX,-0.096246394,159
201502.0,CA,-0.603356706,28339
201502.0,CH,-0.611844599,53086
201502.0,CI,-0.394254675,8894
201502.0,HK,-1.239676224,4054
201502.0,ID,-1.187163082,19459
201502.0,JA,-0.516139368,33850
201502.0,KS,-1.276162971,10280
201502.0,MX,-0.863088981,24055
201502.0,MY,-0.265507356,6592
201502.0,NZ,-0.316133719,8133
201502.0,PE,-0.479259726,5126
201502.0,PP,-0.683259536,2500
201502.0,RP,-1.042557899,10785
201502.0,RS,-2.688808034,56939
201502.0,SN,0.322848899,3551
201502.0,TH,-2.426925223,6824
201502.0,TW,-0.027585438,6492
201502.0,US,-1.067430861,126945
201502.0,VM,-0.648659209,4699
201503.0,AS,-1.063214987,65611
201503.0,BX,0.068005723,522
201503.0,CA,-0.42030363,74781
201503.0,CH,-0.601486781,193836
201503.0,CI,-0.960231393,51203
201503.0,HK,-0.34084053,8132
201503.0,ID,-2.605083002,32333
201503.0,JA,-0.471948365,135143
201503.0,KS,-0.656633697,44764
201503.0,MX,-0.494995157,86512
201503.0,MY,-1.638200954,38742
201503.0,NZ,-0.886086356,29090
201503.0,PE,-1.030670111,17455
201503.0,PP,-1.933108852,2605
201503.0,RP,-1.669619458,18444
201503.0,RS,-2.023264447,393927
201503.0,SN,-0.426411171,13976
201503.0,TH,-0.935099256,34416
201503.0,TW,0.04736479,30414
201503.0,US,-1.091128174,397246
201503.0,VM,-0.505068047,20621
201504.0,AS,-1.204247914,50754
201504.0,BX,0.790584932,617
201504.0,CA,-0.372989782,69112
201504.0,CH,-0.762638436,163989
201504.0,CI,-1.387831044,45472
201504.0,HK,-0.25470027,5946
201504.0,ID,-3.293393258,38343
201504.0,JA,-0.353021017,131641
201504.0,KS,-1.169819025,43163
201504.0,MX,-0.902698055,64342
201504.0,MY,-1.886454405,23660
201504.0,NZ,-0.84582179,24627
201504.0,PE,-0.591028459,12585
201504.0,PP,-1.178985542,2441
201504.0,RP,-1.427051218,16919
201504.0,RS,-1.728647371,340016
201504.0,SN,0.066780998,9470
201504.0,TH,-0.995468367,33034
201504.0,TW,-0.217737873,22187
201504.0,US,-1.196912526,378830
201504.0,VM,-0.66318276,20856
201505.0,AS,-1.122467323,53241
201505.0,BX,-0.723638278,727
201505.0,CA,-0.421095351,61048
201505.0,CH,-0.837103434,164583
201505.0,CI,-0.590844738,40818
201505.0,HK,-0.408218029,5531
201505.0,ID,-2.84720299,25402
201505.0,JA,-0.627481827,116169
201505.0,KS,-0.700139504,40973
201505.0,MX,-1.602843846,75068
201505.0,MY,-3.206632249,35258
201505.0,NZ,-0.076534227,23244
201505.0,PE,-1.25287518,15056
201505.0,PP,-2.45728106,3218
201505.0,RP,-1.98333823,20301
201505.0,RS,-1.584785186,326437
201505.0,SN,-0.487750818,10409
201505.0,TH,-2.733023359,50285
201505.0,TW,-0.302986498,24210
201505.0,US,-1.319430753,380902
201505.0,VM,-0.533383792,22257
201506.0,AS,-1.134127823,49202
201506.0,BX,-0.556665771,652
201506.0,CA,-0.578457305,70835
201506.0,CH,-1.213331828,189561
201506.0,CI,-0.565610592,53188
201506.0,HK,-0.638710534,6126
201506.0,ID,-2.88631783,25215
201506.0,JA,-0.610736807,118345
201506.0,KS,-2.944172419,63065
201506.0,MX,-1.445308795,79188
201506.0,MY,-2.256782969,30238
201506.0,NZ,-0.290453947,21128
201506.0,PE,-0.577338333,16099
201506.0,PP,-1.429451899,2519
201506.0,RP,-1.193215558,11608
201506.0,RS,-1.84988895,331147
201506.0,SN,0.209264823,8250
201506.0,TH,-1.106266118,31870
201506.0,TW,-0.863840179,27372
201506.0,US,-1.193930004,384101
201506.0,VM,-0.573117263,17598
201507.0,AS,-1.087150328,66490
201507.0,BX,-0.114649002,1133
201507.0,CA,-0.218637121,87014
201507.0,CH,-0.99480286,243524
